in s,C1 in V
-2.97758E+00,5.80337E-03
-2.97753E+00,5.81802E-03
-2.97748E+00,5.89419E-03
-2.97743E+00,5.95132E-03
-2.97738E+00,6.03042E-03
-2.97733E+00,6.10073E-03
-2.97728E+00,6.18423E-03
-2.97723E+00,6.24575E-03
-2.97718E+00,6.27944E-03
-2.97713E+00,6.35415E-03
-2.97708E+00,6.45815E-03
-2.97703E+00,6.47134E-03
-2.97698E+00,6.56069E-03
-2.97693E+00,6.62222E-03
-2.97688E+00,6.67202E-03
-2.97683E+00,6.75405E-03
-2.97677E+00,6.77456E-03
-2.97672E+00,6.84194E-03
-2.97667E+00,6.87271E-03
-2.97662E+00,6.85952E-03
-2.97657E+00,6.90786E-03
-2.97652E+00,6.94009E-03
-2.97647E+00,6.98257E-03
-2.97642E+00,6.97231E-03
-2.97637E+00,6.96353E-03
-2.97632E+00,6.93569E-03
-2.97627E+00,6.95620E-03
-2.97622E+00,6.98403E-03
-2.97617E+00,7.01040E-03
-2.97612E+00,7.02944E-03
-2.97607E+00,7.06167E-03
-2.97602E+00,7.09976E-03
-2.97597E+00,7.16567E-03
-2.97592E+00,7.16714E-03
-2.97587E+00,7.22427E-03
-2.97582E+00,7.30630E-03
-2.97577E+00,7.36489E-03
-2.97572E+00,7.36929E-03
-2.97567E+00,7.41323E-03
-2.97562E+00,7.44985E-03
-2.97557E+00,7.47915E-03
-2.97551E+00,7.53188E-03
-2.97546E+00,7.52896E-03
-2.97541E+00,7.52456E-03
-2.97536E+00,7.54800E-03
-2.97531E+00,7.64028E-03
-2.97526E+00,7.62856E-03
-2.97521E+00,7.65347E-03
-2.97516E+00,7.63882E-03
-2.97511E+00,7.66372E-03
-2.97506E+00,7.69302E-03
-2.97501E+00,7.68130E-03
-2.97496E+00,7.68862E-03
-2.97491E+00,7.69009E-03
-2.97486E+00,7.71792E-03
-2.97481E+00,7.65786E-03
-2.97476E+00,7.72671E-03
-2.97471E+00,7.69009E-03
-2.97466E+00,7.62124E-03
-2.97461E+00,7.69155E-03
-2.97456E+00,7.65493E-03
-2.97451E+00,7.57290E-03
-2.97446E+00,7.51431E-03
-2.97441E+00,7.47036E-03
-2.97436E+00,7.43521E-03
-2.97431E+00,7.38687E-03
-2.97425E+00,7.35317E-03
-2.97420E+00,7.26089E-03
-2.97415E+00,7.20815E-03
-2.97410E+00,7.10562E-03
-2.97405E+00,7.08364E-03
-2.97400E+00,7.03237E-03
-2.97395E+00,6.94155E-03
-2.97390E+00,6.86978E-03
-2.97385E+00,6.88003E-03
-2.97380E+00,6.88003E-03
-2.97375E+00,6.83901E-03
-2.97370E+00,6.85659E-03
-2.97365E+00,6.82437E-03
-2.97360E+00,6.78042E-03
-2.97355E+00,6.77896E-03
-2.97350E+00,6.71450E-03
-2.97345E+00,6.65737E-03
-2.97340E+00,6.63833E-03
-2.97335E+00,6.58999E-03
-2.97330E+00,6.56948E-03
-2.97325E+00,6.53872E-03
-2.97320E+00,6.54604E-03
-2.97315E+00,6.54312E-03
-2.97310E+00,6.54312E-03
-2.97305E+00,6.51675E-03
-2.97299E+00,6.51675E-03
-2.97294E+00,6.51235E-03
-2.97289E+00,6.52407E-03
-2.97284E+00,6.49038E-03
-2.97279E+00,6.45522E-03
-2.97274E+00,6.33364E-03
-2.97269E+00,6.36440E-03
-2.97264E+00,6.30142E-03
-2.97259E+00,6.16665E-03
-2.97254E+00,6.08755E-03
-2.97249E+00,6.00112E-03
-2.97244E+00,5.91616E-03
-2.97239E+00,5.79312E-03
-2.97234E+00,5.74771E-03
-2.97229E+00,5.62173E-03
-2.97224E+00,5.51479E-03
-2.97219E+00,5.38882E-03
-2.97214E+00,5.30386E-03
-2.97209E+00,5.18081E-03
-2.97204E+00,5.05630E-03
-2.97199E+00,4.98452E-03
-2.97194E+00,4.92300E-03
-2.97189E+00,4.85122E-03
-2.97184E+00,4.82485E-03
-2.97179E+00,4.84097E-03
-2.97173E+00,4.88198E-03
-2.97168E+00,4.93765E-03
-2.97163E+00,5.00942E-03
-2.97158E+00,5.09731E-03
